Local Authority,Local Electoral Area,Dwelling Type,RT Number,Number of Bedrooms,Number of Bed Spaces,BER,Rent (Month),Floor Space m2,Match Score,ED Name,Tenancy Start,Tenancy Updated
DUBLIN CITY COUNTY COUNCIL,Pembroke,Apartment / Flat,RT-1024-01192134-25,1,2,C1,"1,867.00",51,,PEMBROKE WEST C,10/2024,2025
DUBLIN CITY COUNTY COUNCIL,Pembroke,Apartment / Flat,RT-0126-01714627,1,1,,"1,734.00",55,,PEMBROKE WEST C,01/2026,
DUBLIN CITY COUNTY COUNCIL,Pembroke,Apartment / Flat,RT-0625-01463987,1,0,,"2,100.00",55,,PEMBROKE WEST C,06/2025,
DUBLIN CITY COUNTY COUNCIL,Pembroke,Apartment / Flat,RT-0125-01293032-26,1,2,,"1,900.00",55,,PEMBROKE WEST C,01/2025,2026
DUBLIN CITY COUNTY COUNCIL,Pembroke,Apartment / Flat,RT-0525-01410879,2,0,A2,"3,485.00",98,,PEMBROKE WEST C,05/2025,
DUBLIN CITY COUNTY COUNCIL,Pembroke,Apartment / Flat,RT-0624-01036103-25,2,2,A2,"3,508.00",70,,PEMBROKE WEST C,06/2024,2025
DUBLIN CITY COUNTY COUNCIL,Pembroke,Apartment / Flat,RT-0825-01535376,2,4,B1,"1,974.00",70,,PEMBROKE WEST C,08/2025,
DUBLIN CITY COUNTY COUNCIL,Pembroke,Apartment / Flat,RT-1024-01182136-25,2,4,B2,"3,350.00",97,,PEMBROKE WEST C,10/2024,2025
DUBLIN CITY COUNTY COUNCIL,Pembroke,Apartment / Flat,RT-0824-01098786-25,2,4,B2,"2,023.00",92,,PEMBROKE WEST C,08/2024,2025
DUBLIN CITY COUNTY COUNCIL,Pembroke,Apartment / Flat,RT-0226-01752750,2,3,B3,"3,200.00",100,,PEMBROKE WEST C,02/2026,
DUBLIN CITY COUNTY COUNCIL,Pembroke,Apartment / Flat,RT-0326-01780738,2,4,B3,"2,291.00",90,,PEMBROKE WEST C,03/2026,
DUBLIN CITY COUNTY COUNCIL,Pembroke,Apartment / Flat,RT-0126-01730798,2,4,B3,"2,266.00",71,,PEMBROKE WEST C,01/2026,
DUBLIN CITY COUNTY COUNCIL,Pembroke,Apartment / Flat,RT-1125-01649111,2,4,B3,"2,500.00",70,,PEMBROKE WEST C,11/2025,
DUBLIN CITY COUNTY COUNCIL,Pembroke,Apartment / Flat,RT-0925-01561526,2,4,B3,"3,200.00",80,,PEMBROKE WEST C,09/2025,
DUBLIN CITY COUNTY COUNCIL,Pembroke,Apartment / Flat,RT-0226-01777209,2,2,C2,"2,250.00",80,,PEMBROKE WEST C,02/2026,
DUBLIN CITY COUNTY COUNCIL,Pembroke,Apartment / Flat,RT-0725-01511264,2,4,C3,"3,000.00",80,,PEMBROKE WEST C,07/2025,
DUBLIN CITY COUNTY COUNCIL,Pembroke,Apartment / Flat,RT-0624-01028373-25,2,4,D1,"1,800.00",80,,PEMBROKE WEST C,06/2024,2025
DUBLIN CITY COUNTY COUNCIL,Pembroke,Apartment / Flat,RT-0125-01283079-25,2,4,D2,"2,795.00",80,,PEMBROKE WEST C,01/2025,2025
DUBLIN CITY COUNTY COUNCIL,Pembroke,Apartment / Flat,RT-0424-00974091-25,2,2,D2,"1,953.67",80,,PEMBROKE WEST C,04/2024,2025
DUBLIN CITY COUNTY COUNCIL,Pembroke,Apartment / Flat,RT-1225-01685032,2,2,D1,"2,650.00",78,,PEMBROKE WEST C,12/2025,
DUBLIN CITY COUNTY COUNCIL,Pembroke,Apartment / Flat,RT-0824-01104811-25,2,4,B3,"2,650.00",76,,PEMBROKE WEST C,08/2024,2025
DUBLIN CITY COUNTY COUNCIL,Pembroke,Apartment / Flat,RT-0225-01310912-25,2,2,C2,"2,733.00",76,,PEMBROKE WEST C,02/2025,2025
DUBLIN CITY COUNTY COUNCIL,Pembroke,Apartment / Flat,RT-0725-01484118-25,2,2,E2,"1,856.00",40,,PEMBROKE WEST C,07/2025,2025
DUBLIN CITY COUNTY COUNCIL,Pembroke,Apartment / Flat,RT-0625-01451013,2,4,,"2,295.00",38,,RATHMINES EAST C,06/2025,
DUBLIN CITY COUNTY COUNCIL,Pembroke,Apartment / Flat,RT-0725-01499516,2,2,,"2,000.00",38,,RATHMINES EAST B,07/2025,
DUBLIN CITY COUNTY COUNCIL,Pembroke,Apartment / Flat,RT-1025-01626025,2,3,,"1,430.00",40,,PEMBROKE WEST C,10/2025,
DUBLIN CITY COUNTY COUNCIL,Pembroke,Apartment / Flat,RT-0825-01527517,2,4,C2,"1,737.00",75,,PEMBROKE WEST C,08/2025,
DUBLIN CITY COUNTY COUNCIL,Pembroke,Apartment / Flat,RT-0226-01777905,2,2,,"2,600.00",42,,PEMBROKE WEST C,02/2026,
DUBLIN CITY COUNTY COUNCIL,Pembroke,Apartment / Flat,RT-0824-01099755-25,2,4,B3,"2,100.00",40,,RATHMINES EAST B,08/2024,2025
DUBLIN CITY COUNTY COUNCIL,Pembroke,Apartment / Flat,RT-0524-00988223-25,2,2,C3,"2,000.00",40,,RATHMINES EAST A,05/2024,2025
DUBLIN CITY COUNTY COUNCIL,Pembroke,Apartment / Flat,RT-1025-01592196,2,2,D2,"2,500.00",40,,RATHMINES EAST D,10/2025,
DUBLIN CITY COUNTY COUNCIL,Pembroke,Apartment / Flat,RT-0325-01371776-26,2,2,F,"1,710.00",40,,RATHMINES EAST D,03/2025,2026
