Local Authority,Local Electoral Area,Dwelling Type,RT Number,Number of Bedrooms,Number of Bed Spaces,BER,Rent (Month),Floor Space m2,Match Score,ED Name,Tenancy Start,Tenancy Updated
DUBLIN CITY COUNTY COUNCIL,Clontarf,House,RT-0525-01435920-25,4,4,D2,"1,000.00",115,,GRACE PARK,05/2025,2025
DUBLIN CITY COUNTY COUNCIL,Clontarf,House,RT-0825-01529929,4,4,E2,"2,400.00",115,,DRUMCONDRA SOUTH A,08/2025,
DUBLIN CITY COUNTY COUNCIL,Clontarf,House,RT-1025-01609762,4,4,E2,"1,750.00",115,,GRACE PARK,10/2025,
DUBLIN CITY COUNTY COUNCIL,Clontarf,House,RT-1125-01643702,4,7,B2,"3,750.00",112,,GRACE PARK,11/2025,
DUBLIN CITY COUNTY COUNCIL,Clontarf,House,RT-1224-01239638-25,4,7,D2,"3,621.00",111,,CLONTARF WEST D,12/2024,2025
DUBLIN CITY COUNTY COUNCIL,Clontarf,House,RT-0925-01572769,4,7,E1,"2,350.00",100,,BEAUMONT E,09/2025,
DUBLIN CITY COUNTY COUNCIL,Clontarf,House,RT-1025-01592008,4,7,E2,"2,350.00",100,,BEAUMONT E,10/2025,
DUBLIN CITY COUNTY COUNCIL,Clontarf,House,RT-0818-01377054-25,4,6,E2,"1,400.00",100,,CLONTARF EAST B,08/2018,2025
DUBLIN CITY COUNTY COUNCIL,Clontarf,House,RT-0925-01552205,4,4,D2,"2,249.00",101,,GRACE PARK,09/2025,
DUBLIN CITY COUNTY COUNCIL,Clontarf,House,RT-1018-01404941-25,4,7,F,"1,950.00",102,,HARMONSTOWN B,10/2018,2025
DUBLIN CITY COUNTY COUNCIL,Clontarf,House,RT-0825-01538170,4,7,B2,"3,500.00",110,,GRACE PARK,08/2025,
DUBLIN CITY COUNTY COUNCIL,Clontarf,House,RT-1025-01620925-26,4,4,C1,"2,500.00",110,,GRACE PARK,10/2025,2026
DUBLIN CITY COUNTY COUNCIL,Clontarf,House,RT-1119-01549112-25,4,4,D1,"2,710.00",110,,GRACE PARK,11/2019,2025
DUBLIN CITY COUNTY COUNCIL,Clontarf,House,RT-0825-01523455,4,4,D2,"2,500.00",110,,CLONTARF WEST D,08/2025,
DUBLIN CITY COUNTY COUNCIL,Clontarf,House,RT-0122-00029026-25,4,8,C2,"2,663.38",103,,GRACE PARK,01/2022,2025
