Local Authority,Local Electoral Area,Dwelling Type,RT Number,Number of Bedrooms,Number of Bed Spaces,BER,Rent (Month),Floor Space m2,Match Score,ED Name,Tenancy Start,Tenancy Updated
SOUTH DUBLIN COUNTY COUNCIL,Firhouse - Bohernabreena,House,RT-0525-01433929-25,4,0,A2,"2,897.00",130,,FIRHOUSE-BALLYCULLEN,05/2025,2025
SOUTH DUBLIN COUNTY COUNCIL,Firhouse - Bohernabreena,House,RT-0724-01086100-25,4,0,A2,"2,737.00",130,,FIRHOUSE-BALLYCULLEN,07/2024,2025
SOUTH DUBLIN COUNTY COUNCIL,Firhouse - Bohernabreena,House,RT-0119-01442193-26,4,4,C3,"1,952.00",90,,FIRHOUSE VILLAGE,01/2019,2026
SOUTH DUBLIN COUNTY COUNCIL,Firhouse - Bohernabreena,House,RT-0824-01114726-25,4,0,,"3,775.00",90,,FIRHOUSE-KNOCKLYON,08/2024,2025
SOUTH DUBLIN COUNTY COUNCIL,Firhouse - Bohernabreena,House,RT-0718-01361895-25,4,6,,"1,880.00",90,,FIRHOUSE VILLAGE,07/2018,2025
SOUTH DUBLIN COUNTY COUNCIL,Firhouse - Bohernabreena,House,RT-0226-01779110-25,4,3,,"2,000.00",95,,,02/2026,2025
SOUTH DUBLIN COUNTY COUNCIL,Firhouse - Bohernabreena,House,RT-0618-01356413-25,4,6,,"2,031.00",100,,FIRHOUSE-BALLYCULLEN,06/2018,2025
SOUTH DUBLIN COUNTY COUNCIL,Firhouse - Bohernabreena,House,RT-0425-01389635,4,6,,"1,126.67",98,,BOHERNABREENA,04/2025,
SOUTH DUBLIN COUNTY COUNCIL,Firhouse - Bohernabreena,House,RT-0225-01321153-26,4,0,A3,"2,995.00",116,,FIRHOUSE-BALLYCULLEN,02/2025,2026
SOUTH DUBLIN COUNTY COUNCIL,Firhouse - Bohernabreena,House,RT-0126-01714740,4,8,C3,"3,251.00",120,,FIRHOUSE-BALLYCULLEN,01/2026,
SOUTH DUBLIN COUNTY COUNCIL,Firhouse - Bohernabreena,House,RT-1225-01668072,4,7,F,"2,397.00",120,,FIRHOUSE-BALLYCULLEN,12/2025,
SOUTH DUBLIN COUNTY COUNCIL,Firhouse - Bohernabreena,House,RT-0925-01567321,4,6,C2,"3,117.00",121,,FIRHOUSE-BALLYCULLEN,09/2025,
SOUTH DUBLIN COUNTY COUNCIL,Firhouse - Bohernabreena,House,RT-0825-01517561,4,4,D1,"3,000.00",112,,FIRHOUSE-BALLYCULLEN,08/2025,
SOUTH DUBLIN COUNTY COUNCIL,Firhouse - Bohernabreena,House,RT-0425-01390097,4,8,,"2,940.00",117,,FIRHOUSE-BALLYCULLEN,04/2025,
SOUTH DUBLIN COUNTY COUNCIL,Firhouse - Bohernabreena,House,RT-1019-01531550-25,4,6,C2,"2,420.00",116,,FIRHOUSE VILLAGE,10/2019,2025
SOUTH DUBLIN COUNTY COUNCIL,Firhouse - Bohernabreena,House,RT-0822-00172074-25,4,6,C2,"1,979.00",116,,FIRHOUSE VILLAGE,08/2022,2025
SOUTH DUBLIN COUNTY COUNCIL,Firhouse - Bohernabreena,House,RT-1225-01674158,4,6,C3,"2,450.00",114,,FIRHOUSE VILLAGE,12/2025,
SOUTH DUBLIN COUNTY COUNCIL,Firhouse - Bohernabreena,House,RT-0125-01278743-25,4,7,D2,"2,545.00",116,,EDMONDSTOWN,01/2025,2025
SOUTH DUBLIN COUNTY COUNCIL,Firhouse - Bohernabreena,House,RT-0918-01391198-25,4,6,D1,"1,700.00",107,,FIRHOUSE VILLAGE,09/2018,2025
SOUTH DUBLIN COUNTY COUNCIL,Firhouse - Bohernabreena,House,RT-0625-01461599,4,4,B3,"2,750.00",110,,FIRHOUSE VILLAGE,06/2025,
SOUTH DUBLIN COUNTY COUNCIL,Firhouse - Bohernabreena,House,RT-0818-01376714-25,4,4,B2,"1,350.00",111,,EDMONDSTOWN,08/2018,2025
SOUTH DUBLIN COUNTY COUNCIL,Firhouse - Bohernabreena,House,RT-1125-01653616,4,6,B2,"3,000.00",113,,EDMONDSTOWN,11/2025,
SOUTH DUBLIN COUNTY COUNCIL,Firhouse - Bohernabreena,House,RT-0126-01709847,5,8,A2,"2,918.00",158,,FIRHOUSE-BALLYCULLEN,01/2026,
SOUTH DUBLIN COUNTY COUNCIL,Firhouse - Bohernabreena,House,RT-0924-01146526-25,5,8,A2,"2,642.00",145,,FIRHOUSE-BALLYCULLEN,09/2024,2025
SOUTH DUBLIN COUNTY COUNCIL,Firhouse - Bohernabreena,House,RT-0120-01570155-26,2,4,C3,"1,907.00",65,,FIRHOUSE-BALLYCULLEN,01/2020,2026
SOUTH DUBLIN COUNTY COUNCIL,Firhouse - Bohernabreena,House,RT-0625-01454837-25,2,0,,"2,250.00",70,,FIRHOUSE-BALLYCULLEN,06/2025,2025
SOUTH DUBLIN COUNTY COUNCIL,Firhouse - Bohernabreena,House,RT-1119-01540550-25,5,8,F,"2,757.00",80,,FIRHOUSE-KNOCKLYON,11/2019,2025
SOUTH DUBLIN COUNTY COUNCIL,Firhouse - Bohernabreena,House,RT-0226-01747042,5,0,,"3,515.00",207,,FIRHOUSE-BALLYCULLEN,02/2026,
SOUTH DUBLIN COUNTY COUNCIL,Firhouse - Bohernabreena,House,RT-0619-01490238-25,5,10,,"2,433.00",140,,FIRHOUSE-BALLYCULLEN,06/2019,2025
SOUTH DUBLIN COUNTY COUNCIL,Firhouse - Bohernabreena,House,RT-0724-01072172-25,5,10,,"3,396.00",150,,FIRHOUSE-BALLYCULLEN,07/2024,2025
SOUTH DUBLIN COUNTY COUNCIL,Firhouse - Bohernabreena,House,RT-0418-01334327-25,2,2,C3,"1,559.00",70,,FIRHOUSE VILLAGE,04/2018,2025
