Local Authority,Local Electoral Area,Dwelling Type,RT Number,Number of Bedrooms,Number of Bed Spaces,BER,Rent (Month),Floor Space m2,Match Score,ED Name,Tenancy Start,Tenancy Updated
GALWAY CITY COUNTY COUNCIL,Galway City West,House,RT-0618-01350458-25,4,7,C2,"1,079.00",90,,BARNA,06/2018,2025
GALWAY CITY COUNTY COUNCIL,Galway City West,House,RT-0325-01337772-26,4,4,C2,"2,600.00",100,,KNOCKNACARRAGH,03/2025,2026
GALWAY CITY COUNTY COUNCIL,Galway City West,House,RT-1224-01252517-25,4,8,C2,"2,229.00",100,,BARNA,12/2024,2025
GALWAY CITY COUNTY COUNCIL,Galway City West,House,RT-0323-00497163-25,3,5,D2,968.00,110,,BARNA,03/2023,2025
GALWAY CITY COUNTY COUNCIL,Galway City West,House,RT-0925-01556830,3,3,D2,"1,360.00",108,,BARNA,09/2025,
GALWAY CITY COUNTY COUNCIL,Galway City West,House,RT-1125-01652221,3,5,D1,"1,364.11",111,,BARNA,11/2025,
GALWAY CITY COUNTY COUNCIL,Galway City West,House,RT-0226-01750204,3,3,D1,"1,500.00",110,,BARNA,02/2026,
GALWAY CITY COUNTY COUNCIL,Galway City West,House,RT-0226-01768910-25,3,4,D1,900.00,110,,BARNA,02/2026,2025
GALWAY CITY COUNTY COUNCIL,Galway City West,House,RT-0525-01431978,3,0,D1,"2,600.00",110,,BARNA,05/2025,
GALWAY CITY COUNTY COUNCIL,Galway City West,House,RT-0120-01568328-26,4,0,D2,"1,673.00",124,,BARNA,01/2020,2026
GALWAY CITY COUNTY COUNCIL,Galway City West,House,RT-0224-00881598-26,4,8,D1,"1,465.00",121,,BARNA,02/2024,2026
GALWAY CITY COUNTY COUNCIL,Galway City West,House,RT-1018-01401190-25,4,6,D1,"1,241.45",121,,BARNA,10/2018,2025
GALWAY CITY COUNTY COUNCIL,Galway City West,House,RT-0819-01510094-25,4,7,D1,"1,309.00",122,,BARNA,08/2019,2025
GALWAY CITY COUNTY COUNCIL,Galway City West,House,RT-0925-01563255,4,8,D1,"1,677.00",123,,BARNA,09/2025,
GALWAY CITY COUNTY COUNCIL,Galway City West,House,RT-0723-00619591-25,4,6,D1,"1,000.00",111,,BARNA,07/2023,2025
