Local Authority,Local Electoral Area,Dwelling Type,RT Number,Number of Bedrooms,Number of Bed Spaces,BER,Rent (Month),Floor Space m2,Match Score,ED Name,Tenancy Start,Tenancy Updated
DUBLIN CITY COUNTY COUNCIL,South West Inner City,Apartment / Flat,RT-0525-01410839,1,0,C2,"1,850.00",40,,MERCHANTS QUAY B,05/2025,
DUBLIN CITY COUNTY COUNCIL,South West Inner City,Apartment / Flat,RT-1125-01644793,1,1,D1,"1,950.00",40,,MERCHANTS QUAY B,11/2025,
DUBLIN CITY COUNTY COUNCIL,South West Inner City,Apartment / Flat,RT-1025-01626640,1,2,D1,"1,850.00",40,,MERCHANTS QUAY B,10/2025,
DUBLIN CITY COUNTY COUNCIL,South West Inner City,Apartment / Flat,RT-0219-01445335-25,1,2,D2,"1,030.00",40,,MERCHANTS QUAY B,02/2019,2025
DUBLIN CITY COUNTY COUNCIL,South West Inner City,Apartment / Flat,RT-1125-01652878,1,2,E1,"1,650.00",40,,MERCHANTS QUAY B,11/2025,
DUBLIN CITY COUNTY COUNCIL,South West Inner City,Apartment / Flat,RT-0125-01282321-26,1,2,C2,"1,813.00",41,,MERCHANTS QUAY B,01/2025,2026
DUBLIN CITY COUNTY COUNCIL,South West Inner City,Apartment / Flat,RT-1024-01170569-25,1,1,C2,"1,770.00",39,,MERCHANTS QUAY B,10/2024,2025
DUBLIN CITY COUNTY COUNCIL,South West Inner City,Apartment / Flat,RT-0225-01327462-26,1,2,E2,"1,766.00",41,,MERCHANTS QUAY B,02/2025,2026
DUBLIN CITY COUNTY COUNCIL,South West Inner City,Apartment / Flat,RT-0725-01501711,1,2,A2,"2,150.00",58,,MERCHANTS QUAY B,07/2025,
DUBLIN CITY COUNTY COUNCIL,South West Inner City,Apartment / Flat,RT-0925-01557051,1,1,A3,"2,034.00",55,,MERCHANTS QUAY B,09/2025,
DUBLIN CITY COUNTY COUNCIL,South West Inner City,Apartment / Flat,RT-1224-01252875-25,1,1,A3,"2,012.00",55,,MERCHANTS QUAY B,12/2024,2025
DUBLIN CITY COUNTY COUNCIL,South West Inner City,Apartment / Flat,RT-0225-01311145-26,1,1,D2,"1,595.00",56,,MERCHANTS QUAY B,02/2025,2026
DUBLIN CITY COUNTY COUNCIL,South West Inner City,Apartment / Flat,RT-0624-01028461-25,1,2,C2,"1,600.00",45,,MERCHANTS QUAY B,06/2024,2025
DUBLIN CITY COUNTY COUNCIL,South West Inner City,Apartment / Flat,RT-1024-01186539-25,1,0,D2,"1,900.00",45,,MERCHANTS QUAY B,10/2024,2025
DUBLIN CITY COUNTY COUNCIL,South West Inner City,Apartment / Flat,RT-1125-01639159,1,0,E1,"1,798.00",45,,MERCHANTS QUAY B,11/2025,
DUBLIN CITY COUNTY COUNCIL,South West Inner City,Apartment / Flat,RT-0625-01443030,1,1,E2,"1,600.00",45,,MERCHANTS QUAY B,06/2025,
DUBLIN CITY COUNTY COUNCIL,South West Inner City,Apartment / Flat,RT-0725-01506901,1,0,F,"1,900.00",45,,MERCHANTS QUAY B,07/2025,
DUBLIN CITY COUNTY COUNCIL,South West Inner City,Apartment / Flat,RT-0425-01375509,1,2,A2,"1,247.00",49,,MERCHANTS QUAY B,04/2025,
DUBLIN CITY COUNTY COUNCIL,South West Inner City,Apartment / Flat,RT-0525-01441241,1,2,D1,"1,494.00",44,,MERCHANTS QUAY B,05/2025,
DUBLIN CITY COUNTY COUNCIL,South West Inner City,Apartment / Flat,RT-0226-01774014,1,2,D2,"2,100.00",46,,MERCHANTS QUAY B,02/2026,
DUBLIN CITY COUNTY COUNCIL,South West Inner City,Apartment / Flat,RT-0519-01483548-25,1,2,D1,"1,393.00",47,,MERCHANTS QUAY B,05/2019,2025
DUBLIN CITY COUNTY COUNCIL,South West Inner City,Apartment / Flat,RT-0123-00380636-26,1,0,D1,"1,218.00",55,,MERCHANTS QUAY B,01/2023,2026
DUBLIN CITY COUNTY COUNCIL,South West Inner City,Apartment / Flat,RT-0825-01525026,1,0,D2,"1,185.00",55,,MERCHANTS QUAY B,08/2025,
DUBLIN CITY COUNTY COUNCIL,South West Inner City,Apartment / Flat,RT-0120-01562057-25,1,2,F,977.00,55,,MERCHANTS QUAY B,01/2020,2025
DUBLIN CITY COUNTY COUNCIL,South West Inner City,Apartment / Flat,RT-1225-01674921,1,2,F,"1,500.00",55,,MERCHANTS QUAY B,12/2025,
DUBLIN CITY COUNTY COUNCIL,South West Inner City,Apartment / Flat,RT-0924-01140657-25,1,2,F,"1,650.00",55,,MERCHANTS QUAY B,09/2024,2025
DUBLIN CITY COUNTY COUNCIL,South West Inner City,Apartment / Flat,RT-0425-01399663,1,2,C1,"1,582.00",52,,MERCHANTS QUAY B,04/2025,
DUBLIN CITY COUNTY COUNCIL,South West Inner City,Apartment / Flat,RT-1019-01531169-25,1,0,C1,"1,872.00",50,,MERCHANTS QUAY B,10/2019,2025
