Local Authority,Local Electoral Area,Dwelling Type,RT Number,Number of Bedrooms,Number of Bed Spaces,BER,Rent (Month),Floor Space m2,Match Score,ED Name,Tenancy Start,Tenancy Updated
GALWAY CITY COUNTY COUNCIL,Galway City West,Apartment / Flat,RT-0325-01360513,1,1,,700.00,37,,BARNA,03/2025,
GALWAY CITY COUNTY COUNCIL,Galway City West,Apartment / Flat,RT-0524-01004415-25,1,2,D2,"1,537.00",77,,KNOCKNACARRAGH,05/2024,2025
GALWAY CITY COUNTY COUNCIL,Galway City West,Apartment / Flat,RT-0725-01511234,1,0,,676.00,80,,KNOCKNACARRAGH,07/2025,
GALWAY CITY COUNTY COUNCIL,Galway City West,Apartment / Flat,RT-1023-00747813-25,1,0,,528.00,80,,KNOCKNACARRAGH,10/2023,2025
GALWAY CITY COUNTY COUNCIL,Galway City West,Apartment / Flat,RT-0725-01494878,1,2,,900.00,75,,BARNA,07/2025,
GALWAY CITY COUNTY COUNCIL,Galway City West,Apartment / Flat,RT-1125-01646196,1,1,,"1,600.00",75,,BARNA,11/2025,
GALWAY CITY COUNTY COUNCIL,Galway City West,Apartment / Flat,RT-0125-01285438-25,1,1,,"1,584.00",75,,BARNA,01/2025,2025
GALWAY CITY COUNTY COUNCIL,Galway City West,Apartment / Flat,RT-0126-01710341,1,2,,925.00,48,,SALTHILL,01/2026,
GALWAY CITY COUNTY COUNCIL,Galway City West,Apartment / Flat,RT-0325-01349338-26,1,2,E1,872.00,52,,SALTHILL,03/2025,2026
GALWAY CITY COUNTY COUNCIL,Galway City West,Apartment / Flat,RT-0719-01498848-25,1,2,,881.00,43,,BARNA,07/2019,2025
GALWAY CITY COUNTY COUNCIL,Galway City West,Apartment / Flat,RT-0825-01517550,1,2,A2,"1,533.00",53,,BARNA,08/2025,
GALWAY CITY COUNTY COUNCIL,Galway City West,Apartment / Flat,RT-0425-01403336,1,1,C3,"1,650.00",50,,KNOCKNACARRAGH,04/2025,
GALWAY CITY COUNTY COUNCIL,Galway City West,Apartment / Flat,RT-1124-01203274-25,1,2,D1,"1,340.00",50,,BARNA,11/2024,2025
GALWAY CITY COUNTY COUNCIL,Galway City West,Apartment / Flat,RT-0125-01275765-26,1,0,G,715.00,50,,TAYLORS HILL,01/2025,2026
GALWAY CITY COUNTY COUNCIL,Galway City West,Apartment / Flat,RT-0725-01504615,1,1,A2,"1,881.00",65,,BARNA,07/2025,
GALWAY CITY COUNTY COUNCIL,Galway City West,Apartment / Flat,RT-0725-01488374,1,0,,"1,750.00",56,,SALTHILL,07/2025,
GALWAY CITY COUNTY COUNCIL,Galway City West,Apartment / Flat,RT-1125-01650210,1,1,,"1,150.00",59,,SALTHILL,11/2025,
